NEWID,WMLE
10410943ÿ,-0.87
10410944ÿ,-0.87
10410945ÿ,-0.87
10410946ÿ,-0.87
10410947ÿ,-0.87
10410948ÿ,-0.87
10410949ÿ,-0.87
10410950ÿ,-0.87
10410951ÿ,-0.87
10410952ÿ,-0.87
10410953ÿ,-0.87
10410954ÿ,-0.87
10410955ÿ,-0.87
10410956ÿ,-0.87
10410957ÿ,-0.87
10410958ÿ,-0.87
10410959ÿ,-0.87
10410960ÿ,-0.87
10410961ÿ,-0.87
10410962ÿ,-0.87
10410963ÿ,-0.87
10410964ÿ,-0.87
10410965ÿ,-0.87
10410966ÿ,-0.87
10410967ÿ,-0.87
10410968ÿ,-0.87
10410969ÿ,-0.87
10410970ÿ,-0.87
10410971ÿ,-0.87
10420972ÿ,-1.6
10420973ÿ,-1.6
10420974ÿ,-1.6
10420975ÿ,-1.6
10420976ÿ,-1.6
10420977ÿ,-1.6
10420978ÿ,-1.6
10420979ÿ,-1.6
10420980ÿ,-1.6
10420981ÿ,-1.6
10420982ÿ,-1.6
10430983ÿ,0.17
10430984ÿ,0.17
10430985ÿ,0.17
10430986ÿ,0.17
10430987ÿ,0.17
10430988ÿ,0.17
10430989ÿ,0.17
10430990ÿ,0.17
10430991ÿ,0.17
10430992ÿ,0.17
10430993ÿ,0.17
10430994ÿ,0.17
10430995ÿ,0.17
10430996ÿ,0.17
10430997ÿ,0.17
10430998ÿ,0.17
10430999ÿ,0.17
10431000ÿ,0.17
10431001ÿ,0.17
10431002ÿ,0.17
10431003ÿ,0.17
10431004ÿ,0.17
10431005ÿ,0.17
10431006ÿ,0.17
10431007ÿ,0.17
10431008ÿ,0.17
10431009ÿ,0.17
10431010ÿ,0.17
10431011ÿ,0.17
10431012ÿ,0.17
10431013ÿ,0.17
10441014ÿ,-2.86
10441015ÿ,-2.86
10441016ÿ,-2.86
10441017ÿ,-2.86
10441018ÿ,-2.86
10441019ÿ,-2.86
10441020ÿ,-2.86
10441021ÿ,-2.86
10441022ÿ,-2.86
10441023ÿ,-2.86
10441024ÿ,-2.86
10441025ÿ,-2.86
10441026ÿ,-2.86
10451027ÿ,0.17
10451028ÿ,0.17
10451029ÿ,0.17
10451030ÿ,0.17
10451031ÿ,0.17
10451032ÿ,0.17
10451033ÿ,0.17
10461034ÿ,0.88
10461035ÿ,0.88
10461036ÿ,0.88
10461037ÿ,0.88
10461038ÿ,0.88
10461039ÿ,0.88
10461040ÿ,0.88
10461041ÿ,0.88
10461042ÿ,0.88
10461043ÿ,0.88
10461044ÿ,0.88
10461045ÿ,0.88
10461046ÿ,0.88
10461047ÿ,0.88
10461048ÿ,0.88
10461049ÿ,0.88
10461050ÿ,0.88
10461051ÿ,0.88
10461052ÿ,0.88
10461053ÿ,0.88
10461054ÿ,0.88
10461055ÿ,0.88
10471056ÿ,-0.87
10471057ÿ,-0.87
10471058ÿ,-0.87
10471059ÿ,-0.87
10471060ÿ,-0.87
10471061ÿ,-0.87
10471062ÿ,-0.87
10471063ÿ,-0.87
10471064ÿ,-0.87
10471065ÿ,-0.87
10471066ÿ,-0.87
10471067ÿ,-0.87
10471068ÿ,-0.87
10471069ÿ,-0.87
10471070ÿ,-0.87
10481071ÿ,-0.18
10481072ÿ,-0.18
10481073ÿ,-0.18
10481074ÿ,-0.18
10481075ÿ,-0.18
10481076ÿ,-0.18
10481077ÿ,-0.18
10481078ÿ,-0.18
10481079ÿ,-0.18
10481080ÿ,-0.18
10481081ÿ,-0.18
10481082ÿ,-0.18
10481083ÿ,-0.18
10481084ÿ,-0.18
10481085ÿ,-0.18
10481086ÿ,-0.18
10481087ÿ,-0.18
10481088ÿ,-0.18
10481089ÿ,-0.18
10481090ÿ,-0.18
10481091ÿ,-0.18
10481092ÿ,-0.18
10481093ÿ,-0.18
10481094ÿ,-0.18
10481095ÿ,-0.18
